@relation Twitter

@attribute First-person numeric
@attribute Second-person numeric
@attribute Third-person numeric
@attribute Coordinating-Conjuction numeric
@attribute Past-tense-verbs numeric
@attribute Future-tense-verbs numeric
@attribute Commas numeric
@attribute Colons-semi-colons numeric
@attribute Dashes numeric
@attribute Parenthesis numeric
@attribute Ellipses numeric
@attribute Common-nouns numeric
@attribute Proper-nouns numeric
@attribute Adverbs numeric
@attribute wh-words numeric
@attribute Slang numeric
@attribute Upper-case-words
@attribute Average-sentence-length
@attribute Average-token-length
@attribute Number-of-sentences
@attribute Classname

@data
1,1,0,0,0,1,0,1,0,0,0,5,3,0,1,0,3,6.66666666667,3.76470588235,3,BarackObama
0,1,0,0,0,0,0,1,0,0,0,8,1,0,0,0,3,6.0,5.13333333333,3,BarackObama
0,1,1,1,0,0,0,1,0,0,0,12,3,0,0,1,8,8.25,3.96428571429,4,BarackObama
0,0,0,1,1,0,0,0,0,0,0,3,6,1,0,0,1,9.0,4.875,2,BarackObama
0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,1,7.5,4.30769230769,2,BarackObama
0,0,1,1,0,0,1,0,0,0,0,9,0,3,0,0,3,8.33333333333,4.90909090909,3,BarackObama
0,0,1,1,0,1,0,2,0,0,0,13,2,2,0,1,6,15.5,3.59259259259,2,BarackObama
0,0,0,1,0,1,0,0,0,0,0,6,2,0,0,0,0,24.0,5.42857142857,1,BarackObama
0,0,1,1,1,1,1,0,0,0,0,6,3,1,0,0,0,30.0,3.92857142857,1,BarackObama
0,0,0,1,1,0,1,1,0,0,0,11,3,0,0,0,3,8.33333333333,5.19047619048,3,BarackObama
0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,2,5.0,3.42857142857,2,BarackObama
2,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,1,10.0,4.72222222222,2,BarackObama
0,1,0,0,0,0,0,2,0,0,0,10,0,0,0,0,6,4.75,4.0,4,BarackObama
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.66666666667,1,BarackObama
0,0,0,0,0,0,0,1,0,0,0,5,2,1,0,0,3,7.0,4.0,2,BarackObama
0,0,0,0,0,0,0,1,0,0,0,8,3,0,0,0,4,6.0,4.46666666667,3,BarackObama
0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,20.0,5.38888888889,1,BarackObama
1,0,0,1,1,0,0,0,0,0,0,6,2,0,0,0,1,23.0,4.72727272727,1,BarackObama
0,1,0,0,0,0,0,1,0,0,0,8,2,0,1,0,6,6.33333333333,3.4375,3,BarackObama
3,0,0,1,1,1,2,0,0,0,0,7,0,1,0,0,0,14.5,4.24,2,BarackObama
2,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,1,6.33333333333,4.47058823529,3,BarackObama
0,1,0,0,1,0,0,1,0,0,0,5,2,0,0,0,3,6.66666666667,3.66666666667,3,BarackObama
0,0,0,1,0,0,0,2,0,0,0,12,0,2,0,1,5,30.0,4.26923076923,1,BarackObama
1,0,0,1,0,0,1,0,0,0,0,7,1,1,0,0,0,15.0,4.0,2,BarackObama
0,1,0,1,0,0,0,1,2,0,0,5,8,0,0,1,2,6.0,4.55555555556,4,BarackObama
0,0,1,1,0,0,2,1,0,0,0,4,5,1,0,0,0,26.0,4.68181818182,1,BarackObama
0,0,0,0,0,0,0,1,0,0,0,6,3,0,0,0,2,11.0,4.36842105263,2,BarackObama
1,0,1,1,0,0,0,0,0,0,0,6,3,0,0,0,1,13.0,4.58333333333,2,BarackObama
0,0,0,1,0,0,0,2,0,0,0,11,7,0,0,0,5,15.0,4.0,2,BarackObama
0,0,0,1,0,0,0,3,0,0,0,16,4,0,0,0,6,29.0,3.72,1,BarackObama
0,0,0,1,0,0,0,2,0,0,0,7,5,0,0,0,5,12.5,4.13636363636,2,BarackObama
0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,8.0,4.85714285714,2,BarackObama
0,0,0,0,0,1,0,1,0,0,0,5,2,0,0,0,1,8.0,4.64285714286,2,BarackObama
2,0,0,1,1,0,0,0,0,0,0,3,1,1,2,0,1,10.3333333333,4.07407407407,3,BarackObama
0,2,0,2,0,0,0,2,0,0,0,11,0,2,0,1,3,12.5,4.2380952381,2,BarackObama
1,0,0,1,0,0,1,0,0,0,0,6,1,2,1,0,1,25.0,4.83333333333,1,BarackObama
1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,16.0,4.0,1,BarackObama
0,0,1,0,0,0,1,1,0,0,0,6,5,1,0,0,1,10.5,3.88888888889,2,BarackObama
1,0,0,1,0,0,0,0,1,0,0,5,4,2,1,0,0,14.0,4.48,2,BarackObama
0,0,1,0,0,0,1,1,2,0,0,7,0,2,0,0,1,10.0,6.13333333333,2,BarackObama
1,0,0,3,0,0,1,1,0,0,0,13,1,1,0,0,5,15.0,4.30769230769,2,BarackObama
0,0,0,1,0,0,1,1,0,0,0,10,0,0,1,0,4,8.33333333333,3.71428571429,3,BarackObama
1,0,0,0,0,0,0,0,2,0,0,8,2,2,0,0,4,13.5,4.5,2,BarackObama
0,0,0,0,1,0,1,0,1,0,0,5,4,2,0,0,1,13.0,4.54545454545,2,BarackObama
1,0,0,1,0,0,1,0,1,0,0,7,0,0,0,0,0,25.0,4.75,1,BarackObama
0,1,1,0,1,0,1,2,0,0,0,10,1,2,0,1,3,29.0,3.84,1,BarackObama
1,0,0,0,0,0,0,1,0,0,0,12,4,0,0,0,6,12.5,4.90909090909,2,BarackObama
2,1,0,0,0,1,0,1,0,0,0,8,0,0,0,0,5,7.33333333333,3.15789473684,3,BarackObama
0,0,0,0,0,0,0,1,0,0,0,12,2,0,0,0,7,11.5,3.4,2,BarackObama
0,0,0,0,0,0,1,1,2,4,0,6,4,0,0,0,4,20.0,6.0,1,BarackObama
0,1,2,0,0,1,1,0,0,0,0,8,3,1,0,0,3,7.25,4.16,4,BarackObama
2,1,1,0,0,1,1,0,0,0,0,9,0,0,0,0,3,9.0,3.5,3,BarackObama
0,0,0,0,0,0,0,3,1,2,0,16,2,1,0,1,7,16.5,3.92,2,BarackObama
1,0,0,1,1,0,0,2,0,0,0,10,0,2,0,0,6,11.6666666667,3.7,3,BarackObama
1,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,3,12.5,4.40909090909,2,BarackObama
0,0,0,0,1,0,1,1,0,0,0,9,5,0,1,0,3,9.33333333333,4.08333333333,3,BarackObama
0,0,0,1,0,0,0,1,0,0,0,13,2,1,0,1,3,27.0,4.73913043478,1,BarackObama
0,0,0,2,0,0,1,1,0,0,0,9,4,0,0,0,1,24.0,4.0,1,BarackObama
0,1,0,0,0,0,1,1,0,0,0,8,0,2,0,0,5,11.0,3.83333333333,2,BarackObama
0,0,0,0,0,0,2,2,0,0,0,11,3,1,0,1,3,27.0,4.0,1,BarackObama
1,0,0,0,0,0,1,1,0,0,0,11,1,1,0,0,6,15.0,4.11538461538,2,BarackObama
0,0,0,1,0,0,1,0,0,0,0,6,4,0,0,0,0,9.5,4.5,2,BarackObama
0,0,0,0,1,0,0,2,0,0,0,6,7,0,0,0,3,12.0,4.66666666667,2,BarackObama
0,1,0,2,0,0,1,0,0,0,0,7,2,0,0,0,0,20.0,5.94117647059,1,BarackObama
1,2,1,1,1,0,0,1,0,0,0,7,0,1,0,0,3,6.66666666667,4.41176470588,3,BarackObama
0,0,0,0,0,0,1,2,1,0,0,13,5,1,0,1,6,34.0,3.8275862069,1,BarackObama
0,0,0,0,1,0,1,1,0,0,0,12,2,0,1,0,5,8.66666666667,4.13636363636,3,BarackObama
0,0,1,0,0,0,0,1,0,0,0,4,2,0,0,0,1,15.0,5.15384615385,1,BarackObama
0,0,2,0,0,0,0,2,0,0,0,10,5,1,0,1,3,12.5,4.42857142857,2,BarackObama
0,0,0,0,0,0,0,2,0,0,0,5,6,0,0,0,4,11.0,3.78947368421,2,BarackObama
0,0,0,0,0,0,0,1,0,0,0,7,1,2,0,0,4,9.5,4.70588235294,2,BarackObama
1,0,0,3,0,0,3,0,0,0,0,8,1,0,0,0,0,29.0,3.82608695652,1,BarackObama
1,0,1,0,0,0,1,0,0,0,0,1,3,1,0,0,1,8.5,3.53846153846,2,BarackObama
3,2,0,0,0,0,0,2,1,0,0,14,3,0,0,0,6,12.6666666667,3.4375,3,BarackObama
0,1,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,18.0,4.9375,1,BarackObama
0,1,0,2,0,0,1,0,0,0,0,10,0,2,0,1,4,6.25,4.42857142857,4,BarackObama
0,0,0,1,0,1,1,1,0,0,0,9,3,1,0,0,5,10.5,4.55555555556,2,BarackObama
0,1,0,0,0,1,1,1,0,0,0,5,4,0,0,0,2,12.0,3.80952380952,2,BarackObama
0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,10.0,4.22222222222,2,BarackObama
0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,3,6.0,5.26666666667,3,BarackObama
0,1,0,0,0,0,0,2,0,0,0,10,1,2,0,0,5,15.5,4.14285714286,2,BarackObama
1,0,1,1,0,0,0,1,0,0,0,9,3,0,0,0,5,6.25,4.38095238095,4,BarackObama
2,0,0,0,1,1,3,1,0,0,0,8,2,0,0,0,1,32.0,3.88,1,BarackObama
0,0,0,2,0,0,0,0,1,0,0,4,4,1,0,0,0,20.0,4.44444444444,1,BarackObama
0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,9.5,5.58823529412,2,BarackObama
0,0,0,1,0,0,2,0,0,0,0,2,3,0,0,0,0,15.0,4.0,1,BarackObama
1,0,0,0,0,0,0,2,0,0,0,10,2,1,0,0,3,15.0,4.28,2,BarackObama
0,0,0,0,0,0,0,2,0,0,0,5,1,1,0,0,3,10.5,4.11111111111,2,BarackObama
2,3,0,2,0,0,1,1,0,0,0,6,0,1,1,0,3,8.5,3.58620689655,4,BarackObama
0,0,0,1,0,0,1,1,0,0,0,3,4,0,0,0,2,25.0,3.81818181818,1,BarackObama
0,1,0,1,1,0,0,1,0,0,0,12,6,0,0,0,3,28.0,4.52,1,BarackObama
0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,6.0,6.0,2,BarackObama
0,0,1,0,0,0,0,0,1,0,0,0,6,2,0,0,0,11.5,4.05,2,BarackObama
1,0,0,1,0,0,0,1,0,0,0,8,0,0,1,0,3,7.66666666667,4.9,3,BarackObama
2,0,1,1,1,0,0,2,0,0,0,11,1,0,2,0,4,17.5,3.7,2,BarackObama
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,9.0,4.125,1,BarackObama
0,1,0,0,0,0,0,3,0,0,0,13,0,1,0,1,3,14.5,4.20833333333,2,BarackObama
0,0,1,2,0,0,0,1,0,0,0,7,2,0,0,0,0,19.0,5.52941176471,1,BarackObama
0,1,2,0,0,1,1,1,0,0,0,12,4,0,0,1,6,16.0,4.46153846154,2,BarackObama
0,1,0,0,0,0,1,1,0,0,0,10,1,3,0,0,4,29.0,3.88,1,BarackObama
1,0,0,1,0,1,2,2,0,0,0,15,0,0,1,0,5,16.0,3.92307692308,2,BarackObama
1,0,1,0,0,0,1,0,0,0,0,2,3,0,0,0,1,8.5,3.38461538462,2,BarackObama
3,0,0,1,0,0,0,1,0,0,0,11,0,0,1,0,3,30.0,3.81481481481,1,BarackObama
0,0,0,0,0,0,1,0,0,0,0,8,2,0,3,0,2,15.0,4.22222222222,2,BarackObama
0,2,0,0,0,0,0,1,0,0,0,9,1,0,1,0,5,8.0,3.66666666667,3,BarackObama
0,0,0,0,0,0,0,2,0,0,0,14,2,1,0,0,4,30.0,4.18518518519,1,BarackObama
2,0,0,1,1,0,0,1,0,0,0,6,2,0,1,0,2,9.5,4.76470588235,2,BarackObama
0,2,0,0,0,0,0,1,0,0,0,7,2,0,0,0,1,23.0,5.52380952381,1,BarackObama
2,0,0,0,0,0,1,1,0,0,0,7,1,3,0,0,1,12.0,5.05555555556,2,BarackObama
0,0,0,1,1,0,1,0,1,0,0,9,0,1,0,0,3,7.0,4.76470588235,3,BarackObama
0,1,0,0,1,1,1,1,0,0,0,12,1,0,0,0,3,28.0,4.04166666667,1,BarackObama
0,0,0,0,1,0,1,0,0,0,0,5,1,2,0,0,0,17.0,5.66666666667,1,BarackObama
1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,9.5,4.35714285714,2,BarackObama
1,0,1,0,0,0,1,2,0,0,0,5,1,2,0,0,3,8.0,3.42105263158,3,BarackObama
1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,13.0,4.30769230769,1,BarackObama
0,0,0,1,0,0,0,2,0,0,0,15,3,1,0,1,4,16.0,4.10714285714,2,BarackObama
0,0,2,0,0,0,0,0,0,0,0,4,1,1,2,0,0,25.0,4.70833333333,1,BarackObama
0,0,1,0,0,0,1,2,0,0,0,14,0,1,0,0,8,11.0,3.85185185185,3,BarackObama
0,1,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,18.0,5.0625,1,BarackObama
0,0,0,1,1,0,1,3,0,0,0,14,0,2,0,1,8,15.5,3.88,2,BarackObama
2,1,0,0,1,1,0,1,0,0,0,9,1,0,0,0,6,7.75,3.57692307692,4,BarackObama
0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,6,9.0,4.0,2,BarackObama
1,1,0,0,0,0,2,0,0,0,0,8,0,0,0,0,2,8.33333333333,4.57142857143,3,BarackObama
0,1,0,0,0,0,0,3,0,0,0,3,4,0,1,0,3,10.0,4.0625,2,BarackObama
0,1,0,2,0,0,0,0,0,0,0,6,1,0,0,0,2,11.5,4.38095238095,2,BarackObama
0,0,1,1,0,0,1,0,0,0,0,2,3,2,0,0,1,6.33333333333,3.42857142857,3,BarackObama
0,0,0,0,0,1,0,1,0,0,0,7,4,0,0,0,3,13.0,4.27272727273,2,BarackObama
2,1,0,0,0,0,1,1,0,0,0,4,0,0,1,0,0,24.0,3.90476190476,1,BarackObama
1,0,0,2,0,0,0,2,1,0,0,14,0,1,1,1,4,36.0,3.4375,1,BarackObama
0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,2,5.0,3.71428571429,2,BarackObama
1,0,0,1,0,0,0,2,0,0,0,9,1,1,1,1,3,26.0,3.73913043478,1,BarackObama
0,0,1,0,0,0,0,2,0,0,0,11,4,2,0,1,8,15.0,3.73076923077,2,BarackObama
0,1,0,1,0,0,2,4,2,0,0,18,4,2,0,2,10,46.0,2.75,1,BarackObama
1,0,0,3,0,0,1,0,0,0,0,6,0,0,0,0,3,26.0,5.0,1,BarackObama
0,0,1,1,0,0,1,1,0,0,0,6,2,2,0,0,1,11.0,4.31578947368,2,BarackObama
0,0,1,2,0,0,1,1,0,0,0,12,0,3,0,1,4,30.0,4.2962962963,1,BarackObama
0,0,0,0,0,0,2,1,3,6,0,8,2,0,0,0,6,26.0,5.85714285714,1,BarackObama
1,1,0,0,0,0,0,1,0,0,0,11,2,0,0,0,3,8.33333333333,4.77272727273,3,BarackObama
0,0,0,1,1,0,0,2,0,0,0,12,3,1,0,1,3,14.5,4.24,2,BarackObama
1,0,0,1,0,0,1,0,1,0,0,11,0,0,0,0,3,6.66666666667,5.1875,3,BarackObama
1,2,0,0,0,0,0,1,1,0,0,9,0,0,0,0,4,6.66666666667,3.9375,3,BarackObama
1,0,0,2,0,0,0,1,0,0,0,14,1,0,0,1,4,16.0,4.07142857143,2,BarackObama
0,0,0,1,1,0,0,2,0,0,0,12,2,1,0,1,3,27.0,4.25,1,BarackObama
1,4,0,0,0,0,5,1,0,0,0,6,1,0,0,0,1,18.5,3.77777777778,2,BarackObama
0,0,0,0,1,0,0,2,0,0,0,14,2,1,1,1,4,15.5,4.07407407407,2,BarackObama
2,0,0,1,0,0,2,0,3,0,0,5,1,0,0,0,0,11.3333333333,3.85185185185,3,BarackObama
2,0,0,0,0,0,0,1,1,0,0,9,1,0,0,0,3,22.0,4.84210526316,1,BarackObama
0,1,0,0,0,0,0,2,0,0,0,13,4,0,0,0,4,15.0,4.4,2,BarackObama
0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,6.0,6.1,2,BarackObama
0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,9.0,5.4375,2,BarackObama
0,1,0,0,0,0,0,1,0,0,0,11,2,0,0,0,3,14.5,4.0,2,BarackObama
2,0,0,2,0,1,0,0,0,0,0,0,2,1,0,1,0,8.5,3.46666666667,2,BarackObama
0,0,0,3,0,0,0,0,0,0,0,2,4,0,1,0,0,20.0,4.52631578947,1,BarackObama
2,0,0,0,1,0,0,0,0,0,0,7,2,1,0,0,4,7.0,4.61111111111,3,BarackObama
