@relation Twitter

@attribute First-person numeric
@attribute Second-person numeric
@attribute Third-person numeric
@attribute Coordinating-Conjuction numeric
@attribute Past-tense-verbs numeric
@attribute Future-tense-verbs numeric
@attribute Commas numeric
@attribute Colons-semi-colons numeric
@attribute Dashes numeric
@attribute Parenthesis numeric
@attribute Ellipses numeric
@attribute Common-nouns numeric
@attribute Proper-nouns numeric
@attribute Adverbs numeric
@attribute wh-words numeric
@attribute Slang numeric
@attribute Upper-case-words
@attribute Average-sentence-length
@attribute Average-token-length
@attribute Number-of-sentences
@attribute Classname

@data
3,1,0,1,1,0,0,1,0,0,0,12,4,3,1,1,9,10.0,3.71428571429,5,ladygaga
0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,5.5,5.25,2,ladygaga
1,1,0,1,0,1,1,0,1,0,0,4,2,1,0,0,1,6.66666666667,5.125,3,ladygaga
2,1,2,0,2,0,2,0,2,0,0,5,5,1,0,0,2,13.0,3.61904761905,2,ladygaga
2,1,0,0,0,0,0,0,0,0,0,12,2,0,0,0,4,15.0,3.88888888889,2,ladygaga
1,4,0,0,0,1,1,0,0,0,0,3,1,2,2,3,2,14.0,3.80769230769,2,ladygaga
1,0,1,2,0,1,3,0,1,0,0,4,3,1,0,1,1,26.0,3.61904761905,1,ladygaga
1,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,7,17.0,5.17647058824,1,ladygaga
2,0,2,1,0,0,0,1,0,0,0,12,1,0,0,0,5,15.5,4.23076923077,2,ladygaga
4,0,1,3,0,0,1,0,0,0,0,1,1,1,0,1,1,11.5,3.66666666667,2,ladygaga
1,1,0,1,0,0,2,0,1,0,0,3,3,0,0,0,1,20.0,4.76470588235,1,ladygaga
0,3,0,0,0,0,0,0,0,0,0,4,0,2,1,1,0,11.5,3.57142857143,2,ladygaga
2,0,1,0,0,0,1,0,0,0,0,8,0,1,1,0,1,14.0,4.48,2,ladygaga
0,0,0,2,1,0,2,0,0,0,0,11,4,2,1,0,3,10.0,4.34615384615,3,ladygaga
2,1,0,2,0,0,1,0,0,0,0,5,1,1,0,2,2,12.0,3.40909090909,2,ladygaga
0,0,1,0,0,0,0,0,0,0,0,8,1,1,0,0,1,14.5,4.11111111111,2,ladygaga
0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2.5,4.66666666667,2,ladygaga
0,1,0,1,0,0,0,0,0,0,0,7,1,3,0,1,1,8.66666666667,4.17391304348,3,ladygaga
2,2,2,3,1,0,0,1,0,1,0,6,0,3,1,1,0,15.0,3.76923076923,2,ladygaga
0,0,0,2,0,0,0,0,0,0,1,6,0,1,0,0,0,18.0,4.33333333333,1,ladygaga
2,0,1,0,1,0,0,1,0,0,0,8,3,2,1,1,7,10.6666666667,3.67857142857,3,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladygaga
1,2,0,1,0,0,1,0,0,0,0,7,0,2,0,0,1,7.0,3.95652173913,4,ladygaga
4,0,1,2,0,0,1,0,0,0,0,7,0,2,0,1,4,17.0,3.48387096774,2,ladygaga
4,0,1,3,0,0,1,0,0,0,0,1,1,1,0,1,1,12.0,3.57142857143,2,ladygaga
1,1,0,1,0,0,0,1,0,0,0,8,1,1,0,0,2,5.75,5.44444444444,4,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladygaga
2,0,1,2,2,0,2,0,0,0,0,7,1,3,0,1,4,10.6666666667,3.57142857143,3,ladygaga
2,1,0,1,0,0,0,0,0,0,0,3,0,3,0,1,1,14.0,3.75,1,ladygaga
1,0,0,1,0,0,3,0,0,0,0,9,3,2,0,0,1,16.0,3.89285714286,2,ladygaga
4,3,0,2,1,0,0,0,0,0,0,6,2,1,1,1,2,10.0,3.53571428571,3,ladygaga
0,0,2,2,0,0,0,1,0,0,0,6,5,4,0,2,4,11.6666666667,3.66666666667,3,ladygaga
0,2,0,2,0,0,0,0,0,0,0,6,0,0,0,0,2,5.75,4.78947368421,4,ladygaga
5,0,0,0,0,0,0,1,0,0,0,6,2,1,0,0,8,12.5,4.0,2,ladygaga
1,0,0,2,0,0,0,0,0,0,0,4,2,3,0,1,1,6.66666666667,4.58823529412,3,ladygaga
